  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
066700 99999 201701020350 990   5 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   27   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020400 180   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28   26 1023.8 *****  970.4 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701020420 160   6 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   27   27 ****** 30.12 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020450 990   6 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   27   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020500 200   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28   26 1023.8 *****  970.4 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701020520 170   5 ***   4 *** * * *  2.8 10 ** ** ** ** ** ** ** *   27   25 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020550 140   7 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   27   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020600 150   5 ***   4 OVC * * *  2.5 10 ** ** ** ** ** ** ** 2   27   26 1024.4 *****  970.9 ***  22  0.00 *****  0.00  0.00 ** 
066700 99999 201701020620 140   8 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   27   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020650 150   9 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   27   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020700 160   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28   26 1024.5 *****  971.1 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701020720 160   7 ***   5 *** * * *  1.9 10 ** ** ** ** ** ** ** *   28   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020750 170   5 ***   5 *** * * *  2.5 10 ** ** ** ** ** ** ** *   28   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020800 180   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   29   26 1024.7 *****  971.4 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701020820 150   8 ***   5 *** * * *  2.5 10 ** ** ** ** ** ** ** *   28   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020850 160   7 ***   6 *** * * *  2.8 10 ** ** ** ** ** ** ** *   28   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020900 180   6 ***   6 OVC * * *  2.8 10 ** ** ** ** ** ** ** 2   29   26 1025.3 *****  971.9 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701020920 160   7 ***   6 *** * * *  3.1 10 ** ** ** ** ** ** ** *   28   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020950 990   6 ***   6 *** * * *  3.1 10 ** ** ** ** ** ** ** *   28   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021000 190   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   29   27 1025.2 *****  971.9 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701021020 990   7 ***   6 *** * * *  3.1 10 ** ** ** ** ** ** ** *   30   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021050 150   6 ***   7 *** * * *  3.8 ** ** ** ** ** ** ** ** *   30   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021100 180   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   31   27 1024.5 *****  971.4 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701021120 990   7 ***   8 *** * * *  3.8 ** ** ** ** ** ** ** ** *   32   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701021150 990   6 ***  10 *** * * *  5.0 ** ** ** ** ** ** ** ** *   32   28 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
