ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	Engine2	Engine3	N1	N2	EGT	FF	ColdGMD	ColdVMD	HotGMD	HotVMD
58	AAFEX-II	158	3	HRJ	6	0.4	0	15.3	23.3	2.59E+14	9.80E+12	2.49E+14	5.269	1.5201	0.130988	1.4	0.714	0.286	1.190667429	0.476266971	0	1	NA	NA	NA	0.341562138	17.5028	161.548	16.3062	91.5726
59	AAFEX-II	135	2	JP-8	188	21.8	1.3	13.5	12.2	5.49E+15	4.20E+14	5.07E+15	20.740	28.6392	8.85628	19.8	0.754	0.246	17.89320824	5.846295761	1	0	NA	NA	NA	0.341562138	12.0005	54.1162	20.0875	66.3264
60	AAFEX-II	195	3	FT	4	1.4	0	15	12.2	1.97E+15	2.93E+13	1.94E+15	4.550	7.53218	1.58471	5.9	0.739	0.261	5.275147304	1.861816696	0	1	NA	NA	NA	0.341562138	10.0688	132.722	19.0307	143.624
61	AAFEX-II	170	3	FT	4	1.4	0	15	15.0	8.19E+14	1.49E+13	8.05E+14	2.089	4.34962	0.494899	3.9	0.675	0.325	3.120930737	1.504734463	0	1	NA	NA	NA	0.341562138	10.4795	172.719	17.9349	125.797
62	AAFEX-II	155	2	JP-8	188	21.8	1.3	13.5	22.8	5.24E+15	4.30E+14	4.81E+15	14.435	23.1446	7.20335	15.9	0.737	0.263	14.10061082	5.028889175	1	0	NA	NA	NA	0.341562138	11.9756	49.062	20.4771	53.0568
63	AAFEX-II	130	3	BlendHRJ	276	10.2	0.65	14.4	22.8	4.96E+15	9.43E+13	4.87E+15	4.368	12.2765	1.27345	11.0	0.747	0.253	9.866471209	3.337188791	0	1	NA	NA	NA	0.341562138	10.6134	46.0226	16.5774	88.3208
64	AAFEX-II	120	3	BlendHRJ	276	10.2	0.65	14.4	23.9	3.32E+15	7.12E+13	3.25E+15	3.831	5.563	0.593916	5.0	0.731	0.269	4.359086102	1.603814698	0	1	NA	NA	NA	0.341562138	10.3471	34.7127	16.1529	58.8577
65	AAFEX-II	125	2	JP-8	188	21.8	1.3	13.5	23.9	6.10E+15	4.32E+14	5.66E+15	10.925	19.7951	6.33498	13.5	0.785	0.215	12.68143537	3.470708628	1	0	NA	NA	NA	0.341562138	11.8392	32.6751	19.4752	53.0225
66	AAFEX-II	130	2	JP-8	188	21.8	1.3	13.5	11.1	5.41E+15	4.02E+14	5.01E+15	13.926	19.2456	6.6531	12.6	0.873	0.127	13.19393284	1.917067164	1	0	NA	NA	NA	0.341562138	12.3119	43.5037	20.1377	55.1011
67	AAFEX-II	130	3	FTS	1083	2.1	0	15	11.7	1.44E+16	6.68E+13	1.43E+16	1.852	45.0005	0.785019	44.2	0.756	0.244	40.13405198	12.92452522	0	1	NA	NA	NA	0.341562138	13.9167	19.8175	15.3771	120.566
