ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF
111	AAFEX-II	380	3	BlendHRJ	276	10.2	0.65	14.4	28.3	9.12E+15	4.30E+14	8.69E+15	4.35	11.82	0.73	11.1	NA	NA	NA	NA	11.0142	19.5055	13.5779	98.3976	0	1	NA	NA	NA	NA
112	AAFEX-II	317	3	BlendHRJ	276	10.2	0.65	14.4	28.3	4.73E+15	1.00E+14	4.63E+15	3.80	10.34	1.22	9.1	NA	NA	NA	NA	10.8625	24.2462	16.2472	84.5864	0	1	NA	NA	NA	NA
113	ACCESS-I	480	2	BlendHEFA	500	8	0.9	14.4	17.7	7.85E+16	1.12E+16	6.73E+16	5.19	79.47	11.96	67.5	0.878	0.122	71.13559172	9.875088285	14.2451	18.6786	14.1019	73.7062	1	0	25.0	NA	705.00	0.104
114	ACCESS-I	420	2	JP-8	800	16	1.4	13.9	13.7	9.71E+16	1.19E+16	8.53E+16	15.85	130.40	59.63	70.8	0.864	0.136	73.4064313	11.5212887	15.2432	21.5115	14.3457	64.2253	1	0	25.0	NA	717.00	0.111
115	ACCESS-I	600	3	BlendHEFA	500	8	0.9	14.4	14.1	3.93E+16	7.37E+15	3.20E+16	1.50	71.01	44.75	26.3	0.899	0.101	28.33897829	3.182021714	16.9566	23.1818	13.6681	78.7203	0	1	25.0	NA	723.00	0.113
																														
																														
																														
																														
																														
																														
